29
'Alfalfa'    125	0	50	0.02	-8E-05	 500	-13	50	5000	0.028	0.5	0.5	50	1	4	0.01	0.01
'Birch'        0	0	50	0	-0.0001	 500	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Green Bean'   0	0	50	0	 0.0001	 500	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Corn'	      50	0	50	0	-2E-05	 3	-16	450	1000	0.05	0.5	0.5	50	1	4	0.01	0.01
'Clover'       0	0	50	0	-0.0001	 500	-16	225	5000	0.047	0.5	0.5	50	1	4	0.01	0.01
'Cotton'       0	0	50	0	-0.0001	 500	-16	225	5000	0.047	0.5	0.5	50	1	4	0.01	0.01
'Evergreen'    0	0	50	0	-0.0001	 500	-16	225	5000	0.035	0.5	0.5	50	1	4	0.01	0.01
'Maple'        0	0	50	0	-0.0001	 500	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Oak'	       0	0	50	0	-0.0001	 500	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Rice'	       0	0	50	0	-0.0001	 500	-16	225	5000	0.06	0.5	0.5	50	1	4	0.0005	0.01
'Soy Bean'    50	0	50	0.062	-2E-06	 10	-14	350	5000	0.06	0.5	0.5	50	1	4	0.01	0.01
'Sorghum'      0	0	50	0	-0.0001	 500	-16	225	5000	0.0379	0.5	0.5	50	1	4	0.01	0.01
'Spruce'       0	0	50	0	-0.0001	 500	-16	225	5000	0.045	0.5	0.5	50	1	4	0.01	0.01
'Wheat'       75	0	50	0.05	-1.3E-06 0.667	-16	225	5000	0.02	0.5	0.5	50	1	4	0.01	0.01
'Field Crop (No V Response)' 200	0	50	0	-6E-07	 2.5	-16	225	5000	0.044	0.5	0.5	50	1	4	0.01	0.01
'Field Crop (V Response)'    200	0	50	0	-6E-07	 2.5	-16	225	5000	0.044	0.5	0.5	50	1	4	0.01	0.01
'Cultivated C3 Grasses'       25	0	50	0	-4E-06	 20	-18	50	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Deciduous Forest'	     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Mixed Forest'		     200	0	50	0.03	-5E-07	 1.25	-16	400	5000	0.035	0.5	0.5	50	1	4	0.01	0.01
'Coniferous Forest'	     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Deciduous Fruit Trees'      350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Deciduous Woody Plants'     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Desert and Steppe Shrubs'   350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Evergreen Conifers'	     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Evergreen Woody Plants'     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Herbacious Crop Plants'     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Herbs from Open Habitat'    350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Herbs from Shaded Habitat'  350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
'Succlents'		     350	0	50	0	-3E-07	 1.429	-16	225	5000	0.04	0.5	0.5	50	1	4	0.01	0.01
